,N,H,Errors
0,4,0.25,0.01916930749491526
1,8,0.125,0.0076482719241907325
2,16,0.0625,0.0027101048376079163
3,32,0.03125,0.0010273573139659713
4,64,0.015625,0.00024173774850317758
5,128,0.0078125,0.0014516030807569143
6,256,0.00390625,0.00013519209078807654
