,N,H,Errors
0,4,0.25,0.14611266057458527
1,8,0.125,0.028431593857513846
2,16,0.0625,0.005943266290003001
3,32,0.03125,0.002885070093054837
4,64,0.015625,0.003354229024724996
5,128,0.0078125,0.002442300533000081
6,256,0.00390625,0.004663710733093402
