,N,H,Errors
0,4,0.25,0.010900416089329554
1,8,0.125,0.003016281286246684
2,16,0.0625,0.0009279268866276673
3,32,0.03125,0.00020465323457849872
4,64,0.015625,5.169684487360066e-05
5,128,0.0078125,1.39131120974605e-05
6,256,0.00390625,3.457425468543338e-06
