,half,one
4,0.09259910193853914,0.1530286915488124
8,0.01628597051346249,0.02692914271236894
16,0.002235958948519481,0.0037097732991245662
32,0.00035579126671848703,0.0004993665998402028
64,0.0005493944182856977,0.0012083780998353953
128,0.000840900380133394,0.0013886479205606846
256,0.0007989529233555319,0.002820261026327898
512,0.0017180775014071878,0.0032857992973693607
1024,0.002688711871705833,0.0023147260020331514
2048,0.002578062392776145,0.010994764378233277
