,N,H,Errors
0,4,0.25,3.0094688490210624
1,8,0.125,3.883654476461378
2,16,0.0625,5.22869663506409
3,32,0.03125,7.208074676979143
4,64,0.015625,10.061949860954815
5,128,0.0078125,14.13535062009935
