,N,H,Errors
0,4,0.25,0.1460979374961055
1,8,0.125,0.026755237503299174
2,16,0.0625,0.005998547698032141
3,32,0.03125,0.001999523585622332
4,64,0.015625,0.0009705697646449586
5,128,0.0078125,0.001708195204632341
6,256,0.00390625,0.0016161320183747689
